character,in_degree,out_degree
神里绫华,13,8
早柚,8,10
鹿野院平藏,8,8
宵宫,10,11
托马,7,12
雷电将军,15,11
九条裟罗,14,11
神里绫人,6,10
八重神子,14,13
琴,19,12
优菈,8,11
丽莎,19,14
芭芭拉,11,9
诺艾尔,7,7
罗莎莉亚,5,9
砂糖,6,9
米卡,5,8
阿贝多,12,6
可莉,15,11
凯亚,13,14
迪卢克,12,6
安柏,11,10
赛诺,13,9
柯莱,9,11
菲谢尔,6,5
莫娜,6,7
雷泽,5,6
班尼特,6,7
温迪,11,10
塔利雅,4,7
迪奥娜,6,9
芙宁娜,15,9
香菱,15,14
凝光,14,13
北斗,15,8
钟离,16,10
夜兰,8,8
瑶瑶,7,10
白术,9,9
重云,7,9
嘉明,6,12
甘雨,13,11
爱可菲,8,10
胡桃,13,13
蓝砚,4,7
辛焱,8,9
行秋,12,13
云堇,9,8
申鹤,9,11
七七,8,5
魈,11,8
枫原万叶,9,8
烟绯,8,10
闲云,6,11
刻晴,12,13
达达利亚,5,4
丝柯克,1,3
阿蕾奇诺,5,6
流浪者,3,7
久岐忍,6,6
五郎,6,9
珊瑚宫心海,7,8
荒泷一斗,10,9
绮良良,6,7
梦见月瑞希,6,10
提纳里,12,11
艾尔海森,9,7
多莉,10,9
莱依拉,4,8
珐露珊,7,8
赛索斯,6,9
卡维,9,8
纳西妲,13,10
迪希雅,6,9
妮露,9,7
瓦雷莎,7,8
坎蒂丝,3,6
林尼,13,9
千织,9,9
娜维娅,12,10
夏洛蒂,12,11
那维莱特,14,7
琳妮特,10,10
艾梅莉埃,9,9
菲米尼,7,8
克洛琳德,11,11
夏沃蕾,5,11
希格雯,6,11
莱欧斯利,10,8
卡齐娜,7,7
伊安珊,9,7
恰斯卡,7,8
伊法,7,8
希诺宁,10,9
基尼奇,10,9
玛拉妮,9,10
茜特菈莉,10,8
玛薇卡,10,11
欧洛伦,4,7
